id;expense_date;amount;description;receipt_url;tenant_id;category_id
1;2026-02-13;4523.43;../fake-data/blob/hipster.txt;précisément spécialiste main-d’œuvre;1;1
2;2026-02-14;13506.92;../fake-data/blob/hipster.txt;étant donné que;2;2
3;2026-02-13;5770.43;../fake-data/blob/hipster.txt;triompher à moins de;3;3
4;2026-02-14;9510.67;../fake-data/blob/hipster.txt;à côté de marcher;4;4
5;2026-02-13;6299.36;../fake-data/blob/hipster.txt;soit de façon à ce que;5;5
6;2026-02-14;24151.36;../fake-data/blob/hipster.txt;supprimer spécialiste;6;6
7;2026-02-14;16658.04;../fake-data/blob/hipster.txt;soit;7;7
8;2026-02-13;16454.18;../fake-data/blob/hipster.txt;groin groin jeune enfant toc-toc;8;8
9;2026-02-14;30757.01;../fake-data/blob/hipster.txt;au défaut de;9;9
10;2026-02-14;24820.44;../fake-data/blob/hipster.txt;atchoum avant que afin que;10;10
