id;code;name;description;price;active;tenant_id
1;aimable;hypocrite;../fake-data/blob/hipster.txt;20274.39;false;1
2;tsoin-tsoin si bien ;atchoum coac coac;../fake-data/blob/hipster.txt;3537.29;false;2
3;perplexe émérite ava;calme;../fake-data/blob/hipster.txt;9742.53;false;3
4;pour électorat voyag;céans au prix de tant;../fake-data/blob/hipster.txt;17130.66;true;4
5;au dépens de;du moment que partager coupable;../fake-data/blob/hipster.txt;29191.19;true;5
6;pourvu que nonobstan;guide coac coac passablement;../fake-data/blob/hipster.txt;6028.74;false;6
7;devenir;près abuser;../fake-data/blob/hipster.txt;10300.71;true;7
8;finir maintenant jeu;mairie;../fake-data/blob/hipster.txt;6613.34;false;8
9;près blablabla spéci;athlète adorable extatique;../fake-data/blob/hipster.txt;21241.99;false;9
10;aïe;pauvre plic juriste;../fake-data/blob/hipster.txt;25079.4;false;10
