id;production_date;quantity;notes;tenant_id;product_id;production_site_id
1;2026-02-14;25648.97;../fake-data/blob/hipster.txt;1;1;1
2;2026-02-13;31004.29;../fake-data/blob/hipster.txt;2;2;2
3;2026-02-14;5026.65;../fake-data/blob/hipster.txt;3;3;3
4;2026-02-14;3884.77;../fake-data/blob/hipster.txt;4;4;4
5;2026-02-13;24356.77;../fake-data/blob/hipster.txt;5;5;5
6;2026-02-14;3961.9;../fake-data/blob/hipster.txt;6;6;6
7;2026-02-14;24544.62;../fake-data/blob/hipster.txt;7;7;7
8;2026-02-13;7000.01;../fake-data/blob/hipster.txt;8;8;8
9;2026-02-14;15230.46;../fake-data/blob/hipster.txt;9;9;9
10;2026-02-14;24340.5;../fake-data/blob/hipster.txt;10;10;10
