id;name;round_date;status;start_time;end_time;notes;tenant_id;driver_id
1;calme;2026-02-14;CANCELLED;2026-02-14T11:51:12;2026-02-13T17:16:51;../fake-data/blob/hipster.txt;1;1
2;toc;2026-02-14;COMPLETED;2026-02-14T13:39:04;2026-02-14T11:35:29;../fake-data/blob/hipster.txt;2;2
3;à l'instar de;2026-02-14;COMPLETED;2026-02-13T19:30:05;2026-02-14T03:34:50;../fake-data/blob/hipster.txt;3;3
4;sous couleur de secouriste;2026-02-13;PLANNED;2026-02-14T07:30:56;2026-02-13T20:52:18;../fake-data/blob/hipster.txt;4;4
5;groin groin loufoque tandis que;2026-02-14;PLANNED;2026-02-13T20:03:59;2026-02-14T13:46:01;../fake-data/blob/hipster.txt;5;5
6;antique;2026-02-13;IN_PROGRESS;2026-02-13T17:34:40;2026-02-14T07:22:40;../fake-data/blob/hipster.txt;6;6
7;présidence personnel professionnel;2026-02-14;IN_PROGRESS;2026-02-14T13:16:09;2026-02-14T02:32:51;../fake-data/blob/hipster.txt;7;7
8;touriste touriste;2026-02-14;PLANNED;2026-02-14T05:27:02;2026-02-14T15:14:15;../fake-data/blob/hipster.txt;8;8
9;hystérique par rapport à hé;2026-02-14;CANCELLED;2026-02-14T13:08:24;2026-02-14T12:34:35;../fake-data/blob/hipster.txt;9;9
10;turquoise commissionnaire;2026-02-14;CANCELLED;2026-02-13T22:38:57;2026-02-14T15:39:59;../fake-data/blob/hipster.txt;10;10
