id;sequence_order;visited;visit_time;notes;round_id;customer_id
1;403;true;2026-02-13T18:34:23;../fake-data/blob/hipster.txt;1;1
2;11806;true;2026-02-14T06:38:49;../fake-data/blob/hipster.txt;2;2
3;31236;true;2026-02-14T05:11:51;../fake-data/blob/hipster.txt;3;3
4;26038;false;2026-02-13T18:54:09;../fake-data/blob/hipster.txt;4;4
5;14786;false;2026-02-14T09:34:33;../fake-data/blob/hipster.txt;5;5
6;12305;false;2026-02-14T13:36:51;../fake-data/blob/hipster.txt;6;6
7;20469;true;2026-02-14T11:44:49;../fake-data/blob/hipster.txt;7;7
8;7554;true;2026-02-13T20:20:38;../fake-data/blob/hipster.txt;8;8
9;16926;true;2026-02-14T07:55:03;../fake-data/blob/hipster.txt;9;9
10;22359;false;2026-02-13T21:42:02;../fake-data/blob/hipster.txt;10;10
