id;currency;timezone;date_format;language;tenant_id
1;sni;déduire concurrence;direction;mélancoliq;1
2;can;bè pendant maintenant;même adorable choisi;broum inve;2
3;sem;ci à seule fin de;pourpre répandre pro;du moment ;3
4;eff;hebdomadaire autant;commissionnaire;délégation;4
5;san;étant donné que;dans la mesure où gr;actionnair;5
6;hir;violer après-demain;commis derechef;parlementa;6
7;san;ha ha;touchant en faveur d;doucement ;7
8;dan;équipe;boum;sitôt que ;8
9;con;broum;afin que souvent de ;fixer afin;9
10;can;dans la mesure où débile;chef de cuisine comm;surveiller;10
