id;code;name;type;brand;model;registration_number;year;capacity;fuel_type;active;notes;tenant_id
1;spécialiste demain m;extra y;VAN;aux environs de;à l'insu de;au cas où;18145;11368;trop;false;../fake-data/blob/hipster.txt;1
2;chef de cuisine énor;autour à peu près euh;CAR;chut;oh fixer à condition que;tchou tchouu aussitô;2838;27670.1;hors de hôte;true;../fake-data/blob/hipster.txt;2
3;en outre de trop;lever de façon à ce que super;CAR;persuader;rectorat autour de au-dessus;aussitôt que membre ;23386;27090.23;quasiment nonobstant;true;../fake-data/blob/hipster.txt;3
4;alentour dorénavant ;à la faveur de jusque;CAR;pour que du côté de;lunatique du fait que retracer;multiple;30512;23229.87;candide;false;../fake-data/blob/hipster.txt;4
5;avant de de crainte ;candide;MOTO;équipe de recherche au prix de placide;en plus de badaboum;abattre plaisanter p;22076;11678.24;sitôt que attaquer m;true;../fake-data/blob/hipster.txt;5
6;communauté étudiante;quand ? magnifique ah;CAR;toujours;énergique quitte à au-delà;areu areu d’autant q;26510;3890.79;boum gens;false;../fake-data/blob/hipster.txt;6
7;équipe vlan;représenter toc;VAN;assez;après que assez en plus de;orange snif à raison;6787;1407.64;ici à côté de;false;../fake-data/blob/hipster.txt;7
8;de par;à l'entour de après que restreindre;TRUCK;à seule fin de avant;touriste de par;pourpre tant que;7925;31182.79;raisonner économiser;false;../fake-data/blob/hipster.txt;8
9;commis de cuisine au;délégation déjeuner;VAN;quasi vu que;groin groin ouf;pour que;22489;25635.19;loin de durant cocor;false;../fake-data/blob/hipster.txt;9
10;mélancolique;émouvoir;CAR;prestataire de services de manière à ce que patien;ouille à cause de;aïe;16359;12677.42;population du Québec;false;../fake-data/blob/hipster.txt;10
